100 C
100 A 1
100 W 1
100 R 1
200 C
100 A 2
200 A 1
200 W 1
200 R 1
300 C 
300 A 1
400 C
400 A 1
500 C
500 A 1
600 C
600 A 1
700 C
700 A 1
800 C
800 A 1
900 C
900 A 1
1000 C
1000 A 1
1100 C
1100 A 1
1200 C
1300 C
1400 C
1500 C
1700 C
1800 C
1900 C
1200 A 2
1300 A 5
1300 A 12
1400 A 7
1400 W 7
1500 A 7
1500 W 7
1700 A 1
1800 A 13
1900 A 14
1900 W 14
1200 W 2
1300 W 5
1400 R 7
1500 R 7
1700 W 1
1800 W 13
1300 T
2000 C
2000 A 30
1300 C
1300 A 79
1300 W 79
2000 A 80
200 A 17
200 W 17
100 A 15
400 A 12
400 W 12
700 A 82
700 W 82
600 A 88
600 W 88
800 A 92
800 W 92
800 A 93
800 W 93
800 A 94
800 W 94
500 A 35
500 W 35
500 A 74
500 W 74
500 A 60
500 W 60
2200 C
2200 A 77
2200 W 77
800 F 92
500 T
333 C
333 A 5
333 W 5
2000 W 4
100 R 45
100 C
100 A 5
100 T
100 C
100 A 22
900 R 1
400 W 1
1000 T
235 C
235 A 1
235 W 1
235 A 2
235 W 2
235 A 3
235 W 3
100 A 10
100 W 10
100 A 20
100 W 20
200 A 12
200 T
500 T

